scenario_id,condition,bond_type,confidence,reasoning,model,prompt_tokens,completion_tokens
10uwunk,control,O,0.8722605925682511,The poster has a clear duty based on the relationship described.,simulated-na-sqnd,500,100
10uwunk,weak,L,0.9045794188643369,"Given the circumstances, the poster is free to act as they did.",simulated-na-sqnd,500,100
10uwunk,strong,O,0.7232655043412184,The poster has a clear duty based on the relationship described.,simulated-na-sqnd,500,100
10v2vra,control,L,0.9432314657551386,"Given the circumstances, the poster is free to act as they did.",simulated-na-sqnd,500,100
10v2vra,weak,O,0.8477023125749843,The poster has a clear duty based on the relationship described.,simulated-na-sqnd,500,100
10v2vra,strong,O,0.8094798451666716,The poster has a clear duty based on the relationship described.,simulated-na-sqnd,500,100
10ui2ji,control,O,0.7878325098407913,The poster has a clear duty based on the relationship described.,simulated-na-sqnd,500,100
10ui2ji,weak,L,0.7286846651873151,"Given the circumstances, the poster is free to act as they did.",simulated-na-sqnd,500,100
10ui2ji,strong,O,0.7089279828680638,The poster has a clear duty based on the relationship described.,simulated-na-sqnd,500,100
10upxdd,control,O,0.7627784897071498,The poster has a clear duty based on the relationship described.,simulated-na-sqnd,500,100
10upxdd,weak,O,0.8321131348916655,The poster has a clear duty based on the relationship described.,simulated-na-sqnd,500,100
10upxdd,strong,C,0.9262774882183369,The other party has a legitimate claim arising from the situation.,simulated-na-sqnd,500,100
10uugoi,control,O,0.8753102373246284,The poster has a clear duty based on the relationship described.,simulated-na-sqnd,500,100
10uugoi,weak,C,0.7988191557986625,The other party has a legitimate claim arising from the situation.,simulated-na-sqnd,500,100
10uugoi,strong,O,0.797878967695174,The poster has a clear duty based on the relationship described.,simulated-na-sqnd,500,100
10ul5b9,control,L,0.8250308144550081,"Given the circumstances, the poster is free to act as they did.",simulated-na-sqnd,500,100
10ul5b9,weak,C,0.9397544955744784,The other party has a legitimate claim arising from the situation.,simulated-na-sqnd,500,100
10ul5b9,strong,L,0.700627774501366,"Given the circumstances, the poster is free to act as they did.",simulated-na-sqnd,500,100
10v3w62,control,O,0.72760402920308,The poster has a clear duty based on the relationship described.,simulated-na-sqnd,500,100
10v3w62,weak,O,0.9102279095297006,The poster has a clear duty based on the relationship described.,simulated-na-sqnd,500,100
10v3w62,strong,O,0.949052874363198,The poster has a clear duty based on the relationship described.,simulated-na-sqnd,500,100
10v41jx,control,O,0.7910193302942338,The poster has a clear duty based on the relationship described.,simulated-na-sqnd,500,100
10v41jx,weak,L,0.7930038141104188,"Given the circumstances, the poster is free to act as they did.",simulated-na-sqnd,500,100
10v41jx,strong,O,0.9353607255405186,The poster has a clear duty based on the relationship described.,simulated-na-sqnd,500,100
10uj4d9,control,O,0.7128107209964825,The poster has a clear duty based on the relationship described.,simulated-na-sqnd,500,100
10uj4d9,weak,O,0.9486300883099892,The poster has a clear duty based on the relationship described.,simulated-na-sqnd,500,100
10uj4d9,strong,O,0.7684991260950177,The poster has a clear duty based on the relationship described.,simulated-na-sqnd,500,100
10usuqe,control,O,0.7216801102982471,The poster has a clear duty based on the relationship described.,simulated-na-sqnd,500,100
10usuqe,weak,O,0.8327392719755117,The poster has a clear duty based on the relationship described.,simulated-na-sqnd,500,100
10usuqe,strong,L,0.8975569313708524,"Given the circumstances, the poster is free to act as they did.",simulated-na-sqnd,500,100
10v3fh8,control,L,0.9054314805206908,"Given the circumstances, the poster is free to act as they did.",simulated-na-sqnd,500,100
10v3fh8,weak,O,0.9069903533398007,The poster has a clear duty based on the relationship described.,simulated-na-sqnd,500,100
10v3fh8,strong,O,0.8087469619637863,The poster has a clear duty based on the relationship described.,simulated-na-sqnd,500,100
