scenario_id,condition,bond_type,confidence,reasoning,model,prompt_tokens,completion_tokens
10ujnk8,control,L,0.8,The poster has a liberty/permission to take their own furniture since the friend failed to pay the agreed amount despite warnings and a clear ultimatum. The friend breached their agreement by not payi,claude-sonnet-4-20250514,614,118
10ujnk8,weak,L,0.8,The poster has a liberty/permission to take their own furniture given the roommate's consistent failure to pay agreed-upon amounts despite multiple warnings and a clear ultimatum. While the roommate c,claude-sonnet-4-20250514,661,116
10ujnk8,strong,L,0.8,"Given that the other party was acting under significant personal distress from a family emergency that the poster was unaware of, and has since apologized and explained the circumstances with the conf",claude-sonnet-4-20250514,689,120
10ung90,control,O,0.8,"The poster, as a parent, has fundamental duties to provide emotional support, reasonable accommodation of their child's needs, and to avoid causing psychological harm through verbal abuse. While the d",claude-sonnet-4-20250514,1037,140
10ung90,weak,O,0.8,"The poster, as a parent, has a fundamental duty to provide emotional support, understanding, and appropriate conflict resolution for their 16-year-old daughter, especially given the family's history o",claude-sonnet-4-20250514,1084,168
10ung90,strong,O,0.8,"Despite the resolution and the daughter's apology, the poster still bears a moral duty as a parent to provide appropriate guidance and emotional support, especially given the daughter was acting under",claude-sonnet-4-20250514,1112,110
10ul5b9,control,L,0.85,"The poster had a moral liberty/permission to prioritize Maya's health and well-being by removing her from a situation where she was being denied appropriate medical care, despite it being the mother's",claude-sonnet-4-20250514,680,127
10ul5b9,weak,L,0.8,The poster had a liberty/permission to prioritize Maya's immediate health and safety when the child explicitly requested help and was visibly unwell due to inadequate medical care. While the mother's ,claude-sonnet-4-20250514,727,125
10ul5b9,strong,L,0.8,The poster had liberty/permission to prioritize Maya's health and wellbeing when the child explicitly requested help and was being denied appropriate medical care. While custody arrangements create so,claude-sonnet-4-20250514,755,123
10utyes,control,O,0.8,"The poster has a moral duty as a parent to prioritize their 8-year-old daughter's wellbeing and comfort in her own home, especially when she has clearly expressed distress about the situation. While t",claude-sonnet-4-20250514,549,124
10utyes,weak,O,0.8,"The poster has a duty as a parent to consider their 8-year-old daughter's wellbeing and living environment, especially when she has expressed clear distress about the dog's presence (recoiling, wantin",claude-sonnet-4-20250514,596,137
10utyes,strong,L,0.8,"Given that the family emergency has been resolved and both parties have moved on with apologies and explanations provided, the poster appears to have liberty/permission regarding their family's pet de",claude-sonnet-4-20250514,624,106
10uqw4f,control,L,0.9,"The poster has a liberty/permission to keep her bra size private, as bodily information and personal boundaries are within her autonomous control. The BF has no legitimate claim-right to this private ",claude-sonnet-4-20250514,484,102
10uqw4f,weak,L,0.9,"The poster has a fundamental liberty to maintain privacy over personal information about her body, even within a romantic relationship. While the BF may have misunderstood the situation and didn't int",claude-sonnet-4-20250514,531,114
10uqw4f,strong,L,0.8,"The poster had a liberty/permission to keep her personal information private, as bodily autonomy and privacy are fundamental rights that don't disappear even in intimate relationships. While the boyfr",claude-sonnet-4-20250514,559,113
